Hand Number, Hand Wager, Hand Net, Hand Total, Bank Total
793,100,-100,26,9750
794,100,100,18,9850
795,100,100,14,9950
796,100,100,17,10050
797,100,100,18,10150
798,100,100,19,10250
799,100,100,20,10350
800,100,100,17,10450
801,100,100,20,10550
802,100,-100,12,10450
803,200,0,19,10450
804,100,-100,14,10350
805,100,100,21,10450
806,100,100,20,10550
807,200,-200,15,10350
808,100,-100,10,10250
809,200,200,21,10450
810,100,-100,12,10350
811,200,-200,17,10150
812,100,-100,17,10050
813,100,100,20,10150
814,200,200,15,10350
815,100,100,18,10450
816,200,-200,13,10250
817,100,100,12,10350
818,100,-100,15,10250
819,100,-100,19,10150
820,200,-200,19,9950
821,100,-100,17,9850
822,200,200,20,10050
823,100,-100,20,9950
824,100,100,20,10050
825,100,-100,25,9950
826,100,100,17,10050
827,200,-200,12,9850
828,100,100,19,9950
829,100,-100,25,9850
830,100,-100,19,9750
831,100,-100,17,9650
832,100,100,17,9750
833,100,100,18,9850
834,100,-100,24,9750
835,100,-100,23,9650
836,100,-100,16,9550
837,100,100,19,9650
838,100,100,20,9750
839,100,-100,25,9650
840,100,0,18,9650
841,100,100,15,9750
842,100,-100,25,9650
843,200,200,21,9850
844,100,-100,12,9750
845,100,100,19,9850
846,100,-100,20,9750
847,100,100,17,9850
848,100,-100,22,9750
849,100,0,18,9750
850,100,-100,18,9550
851,100,100,21,9750
852,200,-200,20,9550
853,100,-100,15,9450
854,100,-100,5,9350
855,100,-100,17,9250
856,100,0,20,9250
857,100,100,19,9350
858,100,-100,16,9250
859,100,-100,20,9150
860,200,200,17,9350
861,100,100,14,9450
862,100,-100,22,9350
863,100,-100,17,9250
864,100,100,18,9350
865,100,100,20,9450
866,100,-100,18,9350
867,100,-100,24,9250
868,100,-100,20,9150
869,100,150,21,9300
870,100,100,21,9400
871,200,200,14,9600
872,200,-200,15,9400
873,200,-200,12,9200
874,100,-100,16,9100
875,100,100,18,9200
876,100,100,19,9300
877,100,100,17,9400
878,200,200,19,9600
879,100,100,13,9700
880,100,-100,15,9600
881,100,100,17,9700
882,100,-100,23,9600
883,100,-100,13,9500
884,100,-100,24,9400
885,100,-100,24,9300
886,100,100,20,9400
887,100,0,19,9400
888,100,0,18,9400
889,100,-100,18,9300
890,100,-100,25,9200
891,100,-100,15,9000
892,100,0,19,9100
893,100,-100,19,9000
894,100,-100,12,8900
895,100,-100,13,8800
896,100,100,19,8900
897,100,100,18,9000
898,100,100,21,9100
899,100,100,20,9200
900,100,-100,15,9100
901,100,100,17,9200
902,100,100,20,9300
903,100,100,21,9400
904,100,-100,13,9300
905,100,0,19,9300
906,100,0,20,9300
907,100,100,19,9400
908,100,100,20,9500
909,200,200,20,9700
910,100,100,19,9800
911,100,-100,22,9700
912,100,-100,26,9600
913,100,100,13,9700
914,100,-100,12,9600
915,100,-100,17,9500
916,100,100,21,9600
917,100,0,18,9600
918,100,0,19,9600
919,100,100,20,9700
920,100,100,20,9800
921,200,200,21,10000
922,100,-100,19,9900
923,100,-100,26,9800
924,100,0,17,9800
925,100,0,20,9800
926,100,-100,26,9700
927,100,-100,18,9600
928,100,-100,18,9500
929,100,150,21,9650
930,100,100,14,9750
931,100,0,20,9750
932,100,100,19,9850
933,100,-100,26,9750
934,100,100,21,9850
935,100,-100,10,9750
936,100,100,20,9850
937,100,-100,16,9750
938,100,-100,23,9650
939,200,0,20,9650
940,200,200,20,9850
941,200,-200,13,9650
942,100,-100,26,9550
943,100,-100,13,9450
944,100,-100,13,9350
945,100,-100,23,9250
946,100,100,20,9350
947,200,-200,13,9150
948,100,100,18,9250
949,100,100,13,9350
950,100,100,15,9450
951,100,-100,19,9350
952,100,-100,23,9250
953,100,-100,13,9150
954,100,150,21,9300
955,100,150,21,9450
956,100,-100,12,9350
957,100,-100,12,9250
958,100,100,20,9350
959,100,100,12,9350
960,100,100,14,9550
961,100,-100,19,9450
962,100,-100,13,9350
963,100,-100,18,9250
964,100,150,21,9400
965,100,100,19,9500
966,100,150,21,9650
967,100,-100,23,9550
968,100,100,19,9650
969,100,-100,19,9550
970,100,-100,18,9450
971,200,200,21,9650
972,100,-100,24,9550
973,100,100,13,9650
974,100,0,20,9650
975,100,-100,25,9550
976,100,100,15,9650
977,100,100,20,9750
978,100,100,14,9850
979,100,-100,14,9750
980,100,-100,25,9650
981,100,-100,12,9550
982,100,-100,23,9450
983,100,0,18,9450
984,100,100,20,9550
985,100,100,21,9650
986,100,100,17,9750
987,100,-100,18,9650
988,100,100,14,9750
989,100,-100,16,9650
990,100,-100,17,9550
991,100,0,20,9550
992,100,-100,18,9450
993,100,0,19,9450
994,100,-100,17,9350
995,100,-100,25,9250
996,100,-100,16,9150
997,100,-100,15,9050
998,100,0,17,9050
999,100,-100,24,8950
1000,100,-100,22,8850
1001,100,-100,13,8750
1002,100,-100,24,8650
1003,100,-100,18,8550
1004,100,-100,23,8450
1005,100,-100,18,8350
1006,100,100,16,8450
1007,100,-100,10,8350
1008,100,-100,19,8150
1009,100,-100,13,8150
1010,100,-100,23,8050
1011,100,-100,16,7850
1012,100,100,21,8050
1013,100,100,20,8150
1014,100,-100,17,8050
1015,100,-100,16,7950
1016,100,-100,12,7850
1017,100,-100,17,7750
1018,100,100,18,7850
1019,100,150,21,8000
1020,100,-100,22,7900
1021,100,-100,23,7800
1022,100,100,14,7900
1023,100,-100,17,7800
1024,100,-100,18,7700
1025,100,-100,17,7500
1026,100,-100,16,7500
1027,100,-100,14,7400
1028,200,200,14,7600
1029,100,100,13,7700
1030,100,-100,18,7600
1031,100,-100,17,7400
1032,100,-100,17,7400
1033,100,0,18,7400
1034,100,100,14,7500
1035,100,-100,20,7400
1036,100,-100,23,7300
1037,100,0,20,7200
1038,100,-100,18,7200
1039,100,-100,19,7100
1040,100,-100,13,7000
1041,100,0,17,7000
1042,200,0,18,7000
1043,100,100,19,7100
1044,100,100,21,7200
1045,100,100,20,7300
1046,100,100,20,7400
1047,100,100,17,7500
1048,100,0,20,7500
1049,100,100,20,7600
1050,100,100,18,7700
1051,100,100,13,7800
1052,100,-100,23,7700
1053,100,-100,17,7600
1054,100,-100,13,7500
1055,100,-100,17,7400
1056,100,100,20,7500
1057,200,-200,19,7200
1058,100,-100,13,7200
1059,100,100,14,7300
1060,100,100,15,7400
1061,100,-100,19,7300
1062,100,100,17,7400
1063,200,200,20,7600
1064,100,100,19,7700
1065,100,100,17,7800
1066,200,200,19,8000
1067,100,0,18,8000
1068,100,100,21,8100
1069,100,100,19,8200
1070,100,-100,15,8100
1071,100,-100,15,8000
1072,100,-100,25,7900
1073,100,150,21,8050
1074,100,100,13,8150
1075,100,-100,18,8050
1076,100,-100,22,7950
1077,100,100,20,8050
1078,100,-100,17,7950
1079,100,0,20,7950
1080,100,100,20,8050
1081,100,150,21,8200
